#月,日,時,分,傾斜面日射強度,直達日射強度,散乱光日射強度,反射光日射強度,水平面日射強度,PV電力,発電電力,PV電圧,PV電流,PV温度,外気温度,システム出力係数,PV効率,PV電力(定格比),発電電力(定格比)
#月,日,時,分,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW,kW,V,A,℃,℃,%,%,kW/kWp,kW/kWp
1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,4.40,0.00,0.00,0.00,0.00
1,1,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,4.40,0.00,0.00,0.00,0.00
1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00
1,1,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,4.70,0.00,0.00,0.00,0.00
1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,4.60,0.00,0.00,0.00,0.00
1,1,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,4.50,0.00,0.00,0.00,0.00
1,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.25,4.25,0.00,0.00,0.00,0.00
1,1,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00
1,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,0.00
1,1,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,3.20,0.00,0.00,0.00,0.00
1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.55,3.55,0.00,0.00,0.00,0.00
1,1,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,3.90,0.00,0.00,0.00,0.00
1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00
1,1,6,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,4.10,0.00,0.00,0.00,0.00
1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.25,4.25,0.00,0.00,0.00,0.00
1,1,7,30,0.01,0.00,0.01,0.00,0.01,1.31,1.28,340.16,3.84,4.77,4.40,121.37,28.23,0.01,0.01
1,1,8,0,0.02,0.00,0.02,0.00,0.03,2.47,2.43,352.45,7.02,5.54,4.70,101.88,23.70,0.03,0.03
1,1,8,30,0.04,0.00,0.04,0.00,0.04,3.65,3.59,360.20,10.14,6.30,5.00,97.12,22.59,0.04,0.04
1,1,9,0,0.06,0.00,0.06,0.00,0.06,5.59,5.49,368.27,15.17,7.49,5.45,94.56,21.99,0.06,0.06
1,1,9,30,0.08,0.00,0.08,0.00,0.08,7.57,7.44,372.95,20.30,8.69,5.90,93.68,21.79,0.08,0.08
1,1,10,0,0.11,0.00,0.11,0.00,0.11,10.42,10.24,378.60,27.53,10.51,6.65,93.23,21.68,0.11,0.11
1,1,10,30,0.15,0.00,0.14,0.00,0.14,13.31,13.07,381.66,34.87,12.33,7.40,93.08,21.65,0.14,0.14
1,1,11,0,0.14,0.00,0.14,0.00,0.14,12.71,12.48,381.03,33.36,12.06,7.35,93.08,21.65,0.13,0.13
1,1,11,30,0.13,0.00,0.13,0.00,0.13,12.14,11.92,380.39,31.91,11.80,7.30,93.09,21.65,0.13,0.12
1,1,12,0,0.14,0.00,0.14,0.00,0.14,12.77,12.54,380.71,33.55,12.59,7.85,92.99,21.63,0.13,0.13
1,1,12,30,0.15,0.00,0.15,0.00,0.15,13.41,13.17,380.98,35.21,13.38,8.40,92.89,21.60,0.14,0.14
1,1,13,0,0.20,0.01,0.19,0.00,0.19,18.34,18.01,386.43,47.45,15.20,8.40,93.01,21.63,0.19,0.19
1,1,13,30,0.25,0.02,0.23,0.00,0.24,23.38,22.95,389.33,60.04,17.06,8.40,93.12,21.66,0.24,0.24
1,1,14,0,0.16,0.01,0.15,0.00,0.16,14.89,14.62,383.01,38.87,13.22,7.70,93.05,21.64,0.15,0.15
1,1,14,30,0.07,0.00,0.07,0.00,0.08,6.77,6.65,370.28,18.29,9.49,7.00,93.68,21.79,0.07,0.07
1,1,15,0,0.06,0.00,0.06,0.00,0.06,5.79,5.69,367.71,15.75,9.07,6.95,94.12,21.89,0.06,0.06
1,1,15,30,0.05,0.00,0.05,0.00,0.05,4.83,4.74,363.51,13.28,8.66,6.90,94.88,22.07,0.05,0.05
1,1,16,0,0.04,0.00,0.04,0.00,0.04,3.40,3.34,357.55,9.50,7.95,6.75,97.35,22.64,0.04,0.03
1,1,16,30,0.02,0.00,0.02,0.00,0.02,2.00,1.96,347.10,5.75,7.25,6.60,105.53,24.55,0.02,0.02
1,1,17,0,0.01,0.00,0.01,0.00,0.01,1.31,1.28,338.46,3.86,6.82,6.45,120.49,28.02,0.01,0.01
1,1,17,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,6.30,0.00,0.00,0.00,0.00
1,1,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00
1,1,18,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,5.70,0.00,0.00,0.00,0.00
1,1,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,5.60,0.00,0.00,0.00,0.00
1,1,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,5.50,0.00,0.00,0.00,0.00
1,1,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,5.45,0.00,0.00,0.00,0.00
1,1,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,5.40,0.00,0.00,0.00,0.00
1,1,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.35,5.35,0.00,0.00,0.00,0.00
1,1,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,5.30,0.00,0.00,0.00,0.00
